id,target
Id_hg4i94kfbg,29133488.73461558
Id_j1afeth58t,21205870.51194395
Id_bahkipht8j,21001102.48511459
Id_t1iry5orn0,23235879.42849536
Id_dnlh2w774v,24774256.164258137
Id_chj1tjcd0m,26340291.43791775
Id_iu85a0ymec,23690097.930526398
Id_7jy9rm4wht,21757091.058080725
Id_2p7fly8s82,25689384.790790133
Id_ffob32ovve,23596776.568800837
Id_p5zab4sjjw,24796444.730347015
Id_mspbih3i8l,25099138.264434867
Id_ow3luvubb3,23605207.297363132
Id_f8tbwd15yl,25129875.96091737
Id_njz9rj9x13,29400656.68218647
Id_jyw5ynb9cw,31647620.084767196
Id_hfn4fgi58i,31117211.232967798
Id_0ulwd5m1em,22282555.029146776
Id_0acrwfsyzg,22769915.148100544
Id_blgd0uo0c2,25007781.686701074
Id_w47xl3deb5,29868417.92455418
Id_7ur1clfbik,29511151.106775433
Id_ild46d7gg3,31817077.75726386
Id_gcaogs2cwj,25535811.33623801
Id_umz3ecv23u,26487897.978151985
Id_rttffg0ysc,42986230.779149994
Id_wm2tn2lqi1,46639127.66773713
Id_g89hcmhgbx,40021558.22825302
Id_48bn1pb402,41966496.03560136
Id_owjz5mqbjf,36023147.20548006
Id_iiqrl807ym,22861236.98964861
Id_nr06qq2fa4,22192085.50116679
Id_0sgyvi4grj,23732720.308514006
Id_knb80ai5dt,27387772.58951784
Id_fwkvga3e3j,29077497.355477106
Id_fgvi590zg1,30001359.03410548
Id_fvwl7ht3qa,27126457.109636206
Id_go225xvpyg,26339659.060506854
Id_whkqoyqb4h,29771590.032963872
Id_xrurflmyo3,28490974.903777193
Id_4wqaini4zg,26841587.107571784
Id_pjq661pbo1,23517021.97674203
Id_ig6qkpvjmw,22494616.254894417
Id_2hy5d5ua2j,29027499.80022934
Id_z8cv3ol7oz,30136584.53213395
Id_j5ivmdoj0p,27755527.490421902
Id_ybokoze5xi,20468029.81574347
Id_235o91mhd1,20455079.15258935
Id_948vxzusro,24589891.525732562
Id_f29bw4igv6,26258987.57008598
Id_17vvjnz147,22120723.551549435
Id_f6sz9tic44,24896363.976619385
Id_f5mxzsne0w,23130887.634315316
Id_asmwd6tpdy,21830469.751859818
Id_2eecw3j13x,25612218.280237876
Id_3qwezxjdmo,22041951.733243868
Id_3qoiwaincg,24433416.389248393
Id_pr9h787plq,26205155.607839845
Id_4ziis3677i,23312033.136071578
Id_zbklxuuqun,19832422.72118402
Id_9hwirbb93z,12473769.568618283
Id_7tdf5b1d3g,15234062.915596608
Id_xrskzul0b9,18892703.797442704
Id_l2cx2icydv,17261980.929188795
Id_a0hlxlnf83,21649775.77460961
Id_1s8a2ws33i,24734333.377593484
Id_pwtb67zkjv,28176288.125802997
Id_zaqu2vii97,39822132.4853639
Id_ftrgt154p6,33475696.45059611
Id_0caaw8dcmw,25382274.520664413
Id_e3y6at2r64,23948058.173694223
Id_vv7rwovk76,20529660.634726133
Id_osrdb2lxze,16227693.788287897
Id_u2l8agz0fr,15093090.783624953
Id_re6e3vh4uh,11855203.698985694
Id_q7s0i5m179,15253245.070602983
Id_ws6aaful8k,19010056.79039707
Id_pvvzu1b2hv,13899420.045761045
Id_tjm33r7mo1,7450088.348658247
Id_3mop3266ct,7577549.613440558
Id_vushb193tt,10123069.81266262
Id_xp44w9cvas,11546894.005763927
Id_f8iv1kynmk,14751045.116954934
